scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
aiopsvlinear_(no mean)_normal_KL06_123801_30_0.0001_1_window_30,aiops,1,normal_KL,vlinear,16,2,0.0001,0.2689075630252101,0.3515406162464986,0.3907563025210083,0.4390756302521008,0.3762238228624783,177466,30,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3342385229954051,0.16806722689075632,0.3949579831932773,0.7142857142857143,0.7142857142857143,0.3762238228624783,0.05697076222260917,0.08439716312056737,0.06544209528370064,15.28068433116116,0.6769790649414062,21.28369140625
aiopsGVAR_(no mean)_normal_KL06_124054_30_0.0001_1_window_30,aiops,1,normal_KL,GVAR,256,2,0.0001,0.29411764705882354,0.29551820728291306,0.33613445378151247,0.36636321195144717,0.32025643590769637,3960820,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3674551418589357,0.20168067226890757,0.4369747899159664,0.6638655462184874,0.7226890756302521,0.32025643590769637,0.026625007082758542,0.08439716312056737,0.0677979633587749,14.749705602632572,15.109329223632812,78.06591796875
aiopscLSTM_(no mean)_normal_KL06_124511_30_0.0001_1_window_30,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.23529411764705882,0.26890756302521013,0.28655462184873953,0.36577964519141004,0.29363478724823266,2461470,30,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.29068978143199903,0.14285714285714285,0.31932773109243695,0.48739495798319327,0.680672268907563,0.29363478724823266,0.04183075910486423,0.08439716312056737,0.07191349478328929,13.905595924846812,9.389762878417969,56.3818359375
-----eval window------
aiopsvlinear_(no mean)_normal_KL06_130346_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.30057803468208094,0.36801541425818873,0.408092485549133,0.4633108542068082,0.3989636663914121,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37533718689788054,0.2138728323699422,0.42196531791907516,0.791907514450867,0.791907514450867,0.3989636663914121,0.0566265221614024,0.1206415620641562,0.06381728056538312,15.669736960594298,0.6064834594726562,20.27783203125
aiopsGVAR_(no mean)_normal_KL06_130541_6_0.0001_1_window_6,aiops,1,normal_KL,GVAR,256,2,0.0001,0.2254335260115607,0.2986512524084778,0.3329479768786128,0.388326910725755,0.32562666299660525,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3088714290690397,0.13872832369942195,0.37572254335260113,0.6763005780346821,0.7167630057803468,0.32562666299660525,0.05527022836219813,0.1206415620641562,0.06280133627742701,15.923228059709851,2.6050567626953125,27.904296875
aiopscLSTM_(no mean)_normal_KL06_130836_6_0.0001_1_window_6,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.23121387283236994,0.3082851637764931,0.3387283236994219,0.4104046242774569,0.3307326360216535,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3105320658788867,0.14450867052023122,0.3699421965317919,0.6589595375722543,0.7398843930635838,0.3307326360216535,0.05506683501317922,0.1206415620641562,0.05910613082047832,16.91871868651455,9.389762878417969,56.11572265625
aiopsvlinear_(no mean)_normal_KL06_131509_10_0.0001_1_window_10,aiops,1,normal_KL,vlinear,16,2,0.0001,0.291866028708134,0.36602870813397137,0.4004784688995216,0.4491095162147798,0.3892526771474142,162066,10,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.360485854133767,0.19138755980861244,0.430622009569378,0.7703349282296651,0.7703349282296651,0.3892526771474142,0.05437446102907903,0.14615384615384616,0.06258032538674095,15.979463095151507,0.6182327270507812,20.4453125
aiopsGVAR_(no mean)_normal_KL06_131716_10_0.0001_1_window_10,aiops,1,normal_KL,GVAR,256,2,0.0001,0.23444976076555024,0.29346092503987237,0.3330143540669856,0.3807150451887297,0.3208422571580467,1229220,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3031825144279128,0.13875598086124402,0.3684210526315789,0.6411483253588517,0.7081339712918661,0.3208422571580467,0.04907512018471569,0.14615384615384616,0.056136009225434665,17.81387764819787,4.6891021728515625,36.2646484375
aiopscLSTM_(no mean)_normal_KL06_132038_10_0.0001_1_window_10,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.24880382775119617,0.3189792663476873,0.3574162679425838,0.39339447102605013,0.3389433811802233,2461470,10,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3242605256757212,0.15311004784688995,0.37799043062200954,0.7081339712918661,0.7177033492822966,0.3389433811802233,0.0459587274946704,0.14615384615384616,0.0713428378675543,14.016823971264895,9.389762878417969,56.16015625
