scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
smdbaro_(no mean)_normal_KL04_174100_30_0.0001_3_window_30,smd,3,normal_KL,baro,256,2,0.0001,0.3723076923076923,0.3615384615384614,0.38666666666666666,0.5093748473748475,0.41760793650793654,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174143_30_0.0001_4_window_30,smd,4,normal_KL,baro,256,2,0.0001,0.3723076923076923,0.3615384615384614,0.38666666666666666,0.5093748473748475,0.41760793650793654,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174233_30_0.0001_5_window_30,smd,5,normal_KL,baro,256,2,0.0001,0.3723076923076923,0.3615384615384614,0.38666666666666666,0.5093748473748475,0.41760793650793654,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174323_30_0.0001_6_window_30,smd,6,normal_KL,baro,256,2,0.0001,0.3723076923076923,0.3615384615384614,0.38666666666666666,0.5093748473748475,0.41760793650793654,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174404_30_0.0001_7_window_30,smd,7,normal_KL,baro,256,2,0.0001,0.3723076923076923,0.3615384615384614,0.38666666666666666,0.5093748473748475,0.41760793650793654,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174459_10_0.0001_2_window_10,smd,2,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174546_10_0.0001_3_window_10,smd,3,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174637_10_0.0001_4_window_10,smd,4,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174721_10_0.0001_5_window_10,smd,5,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174808_10_0.0001_6_window_10,smd,6,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174854_10_0.0001_7_window_10,smd,7,normal_KL,baro,256,2,0.0001,0.31384615384615383,0.3097435897435897,0.32769230769230784,0.40601343101343085,0.34053003663003667,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_174941_20_0.0001_2_window_20,smd,2,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175028_20_0.0001_3_window_20,smd,3,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175113_20_0.0001_4_window_20,smd,4,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175159_20_0.0001_5_window_20,smd,5,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
smdbaro_(no mean)_normal_KL04_175239_20_0.0001_6_window_20,smd,6,normal_KL,baro,256,2,0.0001,0.3323076923076923,0.3364102564102563,0.3694358974358974,0.47009279609279603,0.38585567765567763,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1
