scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
msdsvlinear_(no mean)_normal_KL29_112109_10_0.0001_7_window_10,msds,7,normal_KL,vlinear,256,2,0.0001,0.21875,0.53125,0.875,1.0,0.78125,139975,10,0,200,0,0,256,2,10,0,vlinear,gated,aerca_based,0.5,0.5,0.5,0.5,0.5,0.5,0.5
msdsvlinear_(no mean)_normal_KL29_113059_2_0.0001_7_window_2 (with orth) (beta 0.5),msds,7,normal_KL,vlinear,256,2,0.0001,0.36645962732919257,0.8178053830227744,0.9948240165631471,1.0,0.8726708074534162,135711,2,0,200,0,0,256,2,10,0,vlinear,gated,aerca_based,0.5,0.5,0.5,0.5,0.5,0.5,0.5
msdsvlinear_(no mean)_normal_KL29_113411_2_0.0001_7_window_2 (with orth) (beta 0),msds,7,normal_KL,vlinear,256,2,0.0001,0.018633540372670808,0.19358178053830227,0.4720496894409938,1.0,0.5376811594202898,135711,2,0,200,0,0,256,2,10,0,vlinear,gated,aerca_based,0.5,0.5,0.5,0.5,0.5,0.5,0.0
msdsvlinear_(no mean)_normal_KL29_113702_2_0.0001_7_window_2 (no orth) (beta 0)  ,msds,7,normal_KL,vlinear,256,2,0.0001,0.024844720496894408,0.22774327122153212,0.5838509316770186,1.0,0.5814699792960663,135711,2,0,200,0,0,256,2,10,0,vlinear,gated,aerca_based,0.5,0.5,0.5,0.5,0.5,0.5,0.0
msdsvlinear_(no mean)_normal_KL29_114008_2_0.0001_7_window_2 (no orth) (beta 0.5),msds,7,normal_KL,vlinear,256,2,0.0001,0.36024844720496896,0.8178053830227744,0.9886128364389235,1.0,0.8709109730848862,135711,2,0,200,0,0,256,2,10,0,vlinear,gated,aerca_based,0.5,0.5,0.5,0.5,0.5,0.5,0.5
msdsvlinear_(no mean)_normal_KL29_114303_2_0.0001_7_window_2 (with orth) (beta 0.5) (alpha 1.0),msds,7,normal_KL,vlinear,256,2,0.0001,0.36024844720496896,0.8178053830227744,0.9886128364389235,1.0,0.8709109730848862,135711,2,0,200,0,0,256,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.5
