scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta
smdvlinear_(no mean)_normal_KL28_174026_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5815384615384616,0.44717948717948675,0.4126153846153845,0.4242942612942612,0.44526642246642245,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_175848_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5846153846153846,0.44769230769230717,0.4102051282051281,0.42611111111111094,0.4444275946275945,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_181646_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5661538461538461,0.42820512820512774,0.40266666666666645,0.41335531135531134,0.4326101343101342,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_183436_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5876923076923077,0.44666666666666627,0.41374358974358966,0.4315409035409034,0.44834529914529897,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_185245_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5846153846153846,0.4517948717948713,0.4095384615384614,0.4282429792429791,0.4466654456654456,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_191051_10_0.0001_7_window_10,smd,7,normal_KL,vlinear,256,2,0.0001,0.5692307692307692,0.43076923076923024,0.39974358974358964,0.40691575091575083,0.4307804639804639,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0


------ with orth -----

smdvlinear_(no mean)_normal_KL28_193058_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5507692307692308,0.4630769230769235,0.4409743589743586,0.45607326007325993,0.4659809523809524,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_194940_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5538461538461539,0.47794871794871857,0.4418461538461537,0.45744078144078143,0.4721929181929182,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_200918_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5538461538461539,0.48666666666666725,0.46425641025641023,0.4733040293040296,0.48765995115995137,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_202843_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5415384615384615,0.4548717948717951,0.42887179487179466,0.4422271062271061,0.4546532356532357,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_204701_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5446153846153846,0.4610256410256414,0.4375384615384613,0.45056898656898653,0.46451648351648345,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_210608_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.56,0.4887179487179494,0.4559487179487179,0.46810744810744825,0.48390109890109895,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_212449_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5507692307692308,0.4707692307692313,0.4487179487179484,0.4587142857142855,0.4727842490842491,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_214347_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5446153846153846,0.47692307692307734,0.44989743589743575,0.46241514041514026,0.474901221001221,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_220258_10_0.0001_7_window_10 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.5692307692307692,0.49487179487179545,0.4553846153846151,0.4723040293040294,0.48691562881562894,147675,10,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_222240_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4523076923076923,0.4071794871794871,0.3875897435897436,0.39078021978021976,0.40084847374847377,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_223858_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4523076923076923,0.3958974358974357,0.37774358974358974,0.3804896214896215,0.39061074481074476,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_225437_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4276923076923077,0.36923076923076903,0.35553846153846147,0.3717887667887667,0.3731365079365079,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.0,0.0,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_231021_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.48307692307692307,0.4302564102564102,0.40348717948717955,0.409179487179487,0.4196753357753358,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL28_232529_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.46153846153846156,0.41076923076923066,0.3885641025641026,0.39963003663003643,0.4036474969474969,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.01,0.01,0.0
smdvlinear_(no mean)_normal_KL28_234112_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4307692307692308,0.3830769230769229,0.35707692307692296,0.3777338217338218,0.38110708180708175,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.0
smdvlinear_(no mean)_normal_KL28_235551_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4461538461538462,0.40205128205128204,0.3796923076923076,0.38721123321123313,0.39328754578754577,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.0,0.0,0.0
smdvlinear_(no mean)_normal_KL29_001201_20_0.0001_7_window_20 (with orth),smd,7,normal_KL,vlinear,256,2,0.0001,0.4553846153846154,0.4184615384615384,0.3971794871794872,0.40504884004883984,0.4109687423687423,153565,20,0,200,0,0,256,2,38,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.01,0.01,0.0
