scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage
aiopsvlinear_(no mean)_normal_KL05_170639_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.09090909090909091,0.09090909090909091,0.17784090909090913,0.29621212121212115,0.17097808441558443,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5795454545454546,1.0,1.0,1.0,0.09090909090909091,0.625,0.7159090909090909,1.0,0.09090909090909091,0.09090909090909091,0.6477272727272727,0.7159090909090909,18.565400843881857
aiopsvlinear_(no mean)_normal_KL05_170733_6_0.0001_1_window_6,aiops,1,normal_KL,vlinear,16,2,0.0001,0.09090909090909091,0.09090909090909091,0.17784090909090913,0.29621212121212115,0.17097808441558443,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5795454545454546,1.0,1.0,1.0,0.09090909090909091,0.625,0.7159090909090909,1.0,0.09090909090909091,0.09090909090909091,0.6477272727272727,0.7159090909090909,18.565400843881857
aiopsGVAR_(no mean)_normal_KL05_170805_6_0.0001_1_window_6,aiops,1,normal_KL,GVAR,256,2,0.0001,0.09090909090909091,0.20833333333333337,0.17556818181818187,0.3473484848484848,0.2209108946608947,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5909090909090909,1.0,1.0,1.0,0.09090909090909091,0.6136363636363636,0.7045454545454546,1.0,0.10227272727272728,0.6590909090909091,0.7045454545454546,0.7159090909090909,18.565400843881857
aiopscLSTM_(no mean)_normal_KL05_170904_6_0.0001_1_window_6,aiops,1,normal_KL,cLSTM,256,2,0.0001,0.09090909090909091,0.20454545454545459,0.16799242424242428,0.30757575757575767,0.20765331890331895,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5909090909090909,1.0,1.0,1.0,0.09090909090909091,0.5909090909090909,0.6477272727272727,1.0,0.11363636363636363,0.6590909090909091,0.7045454545454546,0.7272727272727273,18.565400843881857
aiopsvlinear_(no mean)_normal_KL05_171143_6_0.0001_2_window_6,aiops,2,normal_KL,vlinear,16,2,0.0001,0.375,0.2196969696969697,0.26780303030303027,0.39848484848484866,0.30683892496392506,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5568181818181818,1.0,1.0,1.0,0.375,0.625,0.7159090909090909,1.0,0.4659090909090909,0.7159090909090909,0.7159090909090909,0.7159090909090909,18.565400843881857
aiopsGVAR_(no mean)_normal_KL05_171223_6_0.0001_2_window_6,aiops,2,normal_KL,GVAR,256,2,0.0001,0.09090909090909091,0.21401515151515155,0.19071969696969696,0.33409090909090916,0.22526695526695534,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5681818181818182,1.0,1.0,1.0,0.09090909090909091,0.6136363636363636,0.7159090909090909,1.0,0.09090909090909091,0.6477272727272727,0.7045454545454546,0.7159090909090909,18.565400843881857
aiopsrcd_(no mean)_normal_KL05_171305_6_0.0001_2_window_6,aiops,2,normal_KL,rcd,256,2,0.0001,0.09090909090909091,0.2196969696969697,0.24753787878787845,0.39848484848484866,0.26636544011544017,0,6,0,100,0,0,128,2,30,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A
aiopscLSTM_(no mean)_normal_KL05_171450_6_0.0001_2_window_6,aiops,2,normal_KL,cLSTM,256,2,0.0001,0.09090909090909091,0.20454545454545459,0.16799242424242428,0.31515151515151524,0.20841089466089474,2461470,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5909090909090909,1.0,1.0,1.0,0.09090909090909091,0.625,0.7045454545454546,1.0,0.11363636363636363,0.625,0.6590909090909091,0.7045454545454546,18.565400843881857
aiopsvlinear_(no mean)_normal_KL05_171625_6_0.0001_3_window_6,aiops,3,normal_KL,vlinear,16,2,0.0001,0.09090909090909091,0.21212121212121213,0.23617424242424215,0.39848484848484866,0.2625775613275613,158986,6,0,200,0,0,16,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.5681818181818182,1.0,1.0,1.0,0.09090909090909091,0.625,0.7159090909090909,1.0,0.09090909090909091,0.6704545454545454,0.7159090909090909,0.7159090909090909,18.565400843881857
aiopsGVAR_(no mean)_normal_KL05_171703_6_0.0001_3_window_6,aiops,3,normal_KL,GVAR,256,2,0.0001,0.09090909090909091,0.20454545454545459,0.16799242424242428,0.318939393939394,0.2121987734487735,682900,6,0,200,0,0,256,2,30,0,mag_phase,attention,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0.6136363636363636,1.0,1.0,1.0,0.09090909090909091,0.5909090909090909,0.6931818181818182,1.0,0.13636363636363635,0.6590909090909091,0.6818181818181818,0.7159090909090909,18.565400843881857
