scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor
swatvlinear_(no mean)_normal_KL08_185812_8_0.0001_1_window_8,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.25,0.35,0.3,74221,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10255765119007987,0.05,0.05,0.1,0.15,0.3,0.04999999999999999,1.0,0.14632506370544435,6.834099194468984,0.5017433166503906,20.3427734375,2404.0434024333954,12.020217012166977,4117.9788975437505,230.14501953125,1,0,0,mul,linear_attn,max,symmetric,linear
swatGVAR_(no mean)_normal_KL08_194634_8_0.0001_1_window_8,swat,1,normal_KL,GVAR,128,0,0.0001,0.25,0.35,0.4,0.5,0.39,3204383,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05625400640709129,0.0,0.0,0.1,0.15,0.39,0.08306623862918075,1.0,0.0833278775215149,12.000785688340669,12.442119598388672,68.4814453125,1919.2277970314026,23.405217036968324,2114.87036936324,79.90673828125,1,0,0,mul,linear_attn,max,symmetric,linear
swatbaro_(no mean)_normal_KL08_202614_8_0.0001_1_window_8,swat,1,normal_KL,baro,1000,0,0.0001,0.0,0.15,0.2,0.25,0.18,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.11210953634598202,0.0,0.15,0.2,0.3,0.18,0.08426149773176358,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swattorai_(no mean)_normal_KL08_202633_8_0.0001_1_window_8,swat,1,normal_KL,torai,1000,0,0.0001,0.1,0.15,0.2,0.35,0.22999999999999998,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1738304672050802,0.1,0.15,0.2,0.35,0.22999999999999998,0.09797958971132711,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatrcd_(no mean)_normal_KL08_202652_8_0.0001_1_window_8,swat,1,normal_KL,rcd,1000,0,0.0001,0.0,0.0,0.0,0.3,0.1,0,8,0,100,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.1299060564758239,0.0,0.25,0.25,0.3,0.1,0.12649110640673517,1.0,0,0,0,0,0,0,0,0,0,0,tinyMoM,mul,gate,split_diff,bipartite,mlp
swatcLSTM_(no mean)_normal_KL08_202708_8_0.0001_1_window_8,swat,1,normal_KL,cLSTM,128,0,0.0001,0.25,0.3,0.3,0.4,0.315,4732851,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.06762970297207854,0.0,0.0,0.05,0.25,0.315,0.03905124837953328,1.0,0.09760414361953736,10.245466666845799,18.272762298583984,94.251953125,1772.8017342090607,68.18468208496387,725.9548403895184,153.63232421875,1,0,0,mul,linear_attn,max,symmetric,linear
