scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM
aiopsvlinear_(no mean)_normal_KL03_032927_20_0.0001_3_window_20,aiops,3,normal_KL,vlinear,256,0,0.0001,0.3333333333333333,0.38888888888888845,0.3666666666666663,0.5555555555555554,0.43369047619047657,162086,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.43369047619047657,0.06791361476386616,0.12253521126760564,0.04603657914304185,21.721857240801175,1.3751907348632812,21.02490234375,19.975302696228027,0.273634283509973,16781.52291846368,985.81298828125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_033046_20_0.0001_3_window_20,aiops,3,normal_KL,cLSTM,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,5698580,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.034627166287652375,28.8790596288726,22.49371337890625,108.1572265625,132.9693911075592,0.664846955537796,6906.85271512678,1323.728515625,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_033522_20_0.0001_3_window_20,aiops,3,normal_KL,CUTS_PLUS,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,229028,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.0753476688231545,13.271810735738356,1.6290283203125,20.751953125,563.8608028888702,2.8193040144443513,1628.7707804739973,2228.12451171875,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_035232_20_0.0001_3_window_20,aiops,3,normal_KL,vlinear,256,0,0.0001,0.09698996655518395,0.2764771460423633,0.3224080267558532,0.34637681159420297,0.2852246907681691,177446,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.5771481760040111,0.3712374581939799,0.7692307692307693,0.7725752508361204,0.8461538461538461,0.2852246907681691,0.07864415201688064,0.21056338028169014,0.06714787610797181,14.892503798512248,1.4477462768554688,21.9267578125,34.499417304992676,0.4662083419593605,9849.673604511105,1982.78076171875,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_035431_20_0.0001_3_window_20,aiops,3,normal_KL,cLSTM,256,0,0.0001,0.14381270903010032,0.1527313266443701,0.17123745819397976,0.20579710144927538,0.17599312523225563,12216360,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.39931915666681056,0.3511705685618729,0.36454849498327757,0.36454849498327757,0.44816053511705684,0.17599312523225563,0.019957210574637774,0.21056338028169014,0.06530219336417208,15.313421318381751,47.37103271484375,216.38232421875,260.493558883667,1.302467794418335,3525.615005360441,2582.15576171875,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_040232_20_0.0001_3_window_20,aiops,3,normal_KL,CUTS_PLUS,256,0,0.0001,0.15384615384615385,0.2017837235228541,0.19999999999999996,0.22382014121144544,0.20100599883208575,260968,20,0,200,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.6164398444915764,0.5585284280936454,0.6220735785953178,0.6454849498327759,0.745819397993311,0.20100599883208575,0.01857434826402422,0.21056338028169014,0.0637702662809238,15.681289389552688,1.76483154296875,21.4990234375,1273.853436946869,6.369267184734344,720.9620615391923,4240.5830078125,0,0,tinyMoM
aiopsvlinear_(no mean)_normal_KL03_043655_20_0.0001_3_window_20,aiops,3,normal_KL,vlinear,256,0,0.0001,0.1939799331103679,0.28985507246376824,0.35830546265328883,0.40479375696767045,0.339610208631948,185126,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.41103121516165,0.3411371237458194,0.44481605351170567,0.451505016722408,0.451505016722408,0.339610208631948,0.07326945402667712,0.21056338028169014,0.08306929259794611,12.038142720679977,1.4867706298828125,22.423828125,41.21991777420044,0.5646564078657594,8132.379153114463,2496.59814453125,0,0,tinyMoM
aiopscLSTM_(no mean)_normal_KL03_043908_20_0.0001_3_window_20,aiops,3,normal_KL,cLSTM,256,0,0.0001,0.1806020066889632,0.20178372352285429,0.19353400222965433,0.21939799331103654,0.1993843234060625,15782450,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3734193867347803,0.3377926421404682,0.34782608695652173,0.35785953177257523,0.3712374581939799,0.1993843234060625,0.014130725537198846,0.21056338028169014,0.09516472082871658,10.508095765865406,60.98431396484375,274.5498046875,326.3373692035675,1.6316868460178375,2814.265501500403,3213.94873046875,0,0,tinyMoM
aiopsCUTS_PLUS_(no mean)_normal_KL03_044901_20_0.0001_3_window_20,aiops,3,normal_KL,CUTS_PLUS,256,0,0.0001,0.27424749163879597,0.21070234113712408,0.194648829431438,0.22508361204013386,0.21560824441259227,277238,20,0,200,0,0,0,0,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4477903071298187,0.35451505016722407,0.4013377926421405,0.6254180602006689,0.745819397993311,0.21560824441259227,0.021635222324450098,0.21056338028169014,0.09177744109495029,10.895923748467,1.8366241455078125,21.69384765625,1795.1416110992432,8.975708055496217,511.60309265942743,5386.24951171875,0,0,tinyMoM
aiopstorai_(no mean)_normal_KL03_061756_20_0.0001_1_window_20,aiops,1,normal_KL,torai,128,0,0.0001,0.16666666666666666,0.27777777777777724,0.3666666666666669,0.5,0.36146825396825394,0,20,0,100,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.47222222222222215,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.36146825396825394,0.08929126085064717,0.12253521126760564,0,0,0,0,0,0,0,0,0,0,tinyMoM
aiopsbaro_(no mean)_normal_KL03_062234_20_0.0001_1_window_20,aiops,1,normal_KL,baro,128,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,0,20,0,100,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4166666666666667,0.16666666666666666,0.6666666666666666,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0,0,0,0,0,0,0,0,0,0,tinyMoM
aiopsrcd_(no mean)_normal_KL03_062307_20_0.0001_1_window_20,aiops,1,normal_KL,rcd,128,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,0,20,0,100,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4166666666666667,0.16666666666666666,0.6666666666666666,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0,0,0,0,0,0,0,0,0,0,tinyMoM
aiopsGVAR_(no mean)_normal_KL03_062622_20_0.0001_1_window_20,aiops,1,normal_KL,GVAR,256,0,0.0001,0.5,0.4444444444444451,0.4000000000000014,0.5555555555555554,0.45646825396825436,3305392,20,0,200,0,0,0,0,20,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.45646825396825436,0.05387744753124179,0.12253521126760564,0.04008194495891702,24.948889107676152,13.364425659179688,68.5185546875,5.724934339523315,0.2726159209296817,16844.210654829865,152.0673828125,0,0,tinyMoM
aiopstorai_(no mean)_normal_KL03_062719_20_0.0001_1_window_20,aiops,1,normal_KL,torai,128,0,0.0001,0.21739130434782608,0.3511705685618734,0.386622073578596,0.3925678186547752,0.3575083612040136,0,20,0,100,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.40790244776174883,0.21739130434782608,0.5585284280936454,0.5852842809364549,0.802675585284281,0.3575083612040136,0.05224854570857645,0.21056338028169014,0,0,0,0,0,0,0,0,0,0,tinyMoM
aiopsbaro_(no mean)_normal_KL03_063516_20_0.0001_1_window_20,aiops,1,normal_KL,baro,128,0,0.0001,0.20066889632107024,0.2764771460423634,0.32575250836120395,0.3341880341880338,0.2975569358178054,0,20,0,100,0,0,0,0,40,0,normal,gated,aerca_based,1.0,1.0,0.1,0.1,0.5,0.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4382385730211817,0.20066889632107024,0.5317725752508361,0.8160535117056856,0.9899665551839465,0.2975569358178054,0.04285334096683884,0.21056338028169014,0,0,0,0,0,0,0,0,0,0,tinyMoM
