scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
batadalGVAR_(no mean)_normal_KL22_142755_16_0.0001_3_window_16,batadal,3,normal_KL,GVAR,256,0,0.0001,0.14285714285714285,0.14285714285714285,0.17142857142857146,0.21547619047619046,0.18505102040816326,14205015,14.174295,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3868256604967568,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.18505102040816326,0.025485867075926257,1.0,0.04839888042858677,20.66163496231104,54.959999084472656,606.421875,0,0,0,0,1,0
batadalcLSTM_(no mean)_normal_KL22_142803_16_0.0001_3_window_16,batadal,3,normal_KL,cLSTM,256,0,0.0001,0.2857142857142857,0.23809523809523808,0.19999999999999998,0.230952380952381,0.23335034013605443,13264683,0.176128,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.13673391327155096,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.23335034013605443,0.02814597077354626,1.0,0.12148876671426478,8.231213691978185,51.37291717529297,640.203125,0,0,0,0,1,0
batadalCUTS_PLUS_(no mean)_normal_KL22_142816_16_0.0001_3_window_16,batadal,3,normal_KL,CUTS_PLUS,256,0,0.0001,0.14285714285714285,0.19047619047619047,0.17142857142857146,0.3011904761904762,0.19539115646258504,265828,150.795168,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4408521303258145,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.19539115646258504,0.0452645854873127,1.0,0.10801333357143708,9.258116261531981,1.7862205505371094,697.109375,0,0,0,0,1,0
batadalcMLP_(no mean)_normal_KL23_142502_16_0.0001_1_window_16,batadal,1,normal_KL,cMLP,256,0,0.0001,0.42857142857142855,0.19047619047619047,0.17142857142857143,0.25952380952380955,0.22358843537414966,7122219,14.222336,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2864006864006864,0.14285714285714285,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.22358843537414966,0.07297222700274156,1.0,0.022721879285719688,44.01044418137028,27.94127655029297,561.453125,0,0,0,0,1,0
batadalcMLP_(no mean)_normal_KL23_142515_16_0.0001_2_window_16,batadal,2,normal_KL,cMLP,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.13452380952380952,0.15003401360544216,7122219,14.222336,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.36809056956115777,0.2857142857142857,0.2857142857142857,0.42857142857142855,0.8571428571428571,0.15003401360544216,0.05344211798769218,1.0,0.015001561714289633,66.65972643684538,27.94127655029297,561.484375,0,0,0,0,1,0
batadalcMLP_(no mean)_normal_KL23_160625_16_0.0001_3_window_16,batadal,3,normal_KL,cMLP,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.13452380952380952,0.14171768707482993,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3927295918367347,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.14171768707482993,0.05040312810513028,1.0,0.015283607571291213,65.42957841173597,27.94127655029297,560.859375,0,0,0,0,1,0
batadalcMLP_(no mean)_normal_KL26_113321_16_0.0001_3_window_16,batadal,3,normal_KL,cMLP,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.1142857142857143,0.13452380952380952,0.14171768707482993,7122219,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3927295918367347,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.14171768707482993,0.05040312810513028,1.0,0.02231453799998917,44.81383392300057,27.94127655029297,567.40625,0,0,0,0,1,0
batadaldeep_mlp_(no mean)_normal_KL26_163440_16_0.0001_1_window_16,batadal,1,normal_KL,deep_mlp,256,0,0.0001,0.2857142857142857,0.09523809523809523,0.1142857142857143,0.10595238095238095,0.12384353741496601,42615045,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3888955582232893,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.12384353741496601,0.05583728832389203,1.0,0.17288690885715954,5.784127940110303,163.33566284179688,832.578125,0,0,0,0,1,0
batadaldeep_mlp_(no mean)_normal_KL26_163449_16_0.0001_2_window_16,batadal,2,normal_KL,deep_mlp,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.17142857142857146,0.1869047619047619,0.168843537414966,42615045,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3013543599257885,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.5714285714285714,0.168843537414966,0.041336523525187865,1.0,0.16262915114285598,6.148959107101189,163.33566284179688,832.859375,0,0,0,0,1,0
batadaldeep_mlp_(no mean)_normal_KL26_163459_16_0.0001_3_window_16,batadal,3,normal_KL,deep_mlp,256,0,0.0001,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.11666666666666667,0.14574829931972788,42615045,0,16,0,200,0,0,128,2,43,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.38448773448773454,0.2857142857142857,0.2857142857142857,0.5714285714285714,0.8571428571428571,0.14574829931972788,0.047990834830026766,1.0,0.1690868085714133,5.914121914351781,163.33566284179688,832.890625,0,0,0,0,1,0
