scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
msdsvlinear_(no mean)_normal_KL17_193059_2_0.0001_1_window_2,msds,1,normal_KL,vlinear,16,0,0.0001,0.9961904761904762,0.9971428571428571,1.0,1.0,0.9990476190476191,13082,2,0,200,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9990476190476191,0.0014754222271266457,0.04734848484848485,0.02931143942333403,34.116372981803394,0.05406951904296875,17.787109375,123.04015803337097,0.6152007901668548,14418.056903981345,53.294921875,0
msdsEadro_(no mean)_normal_KL17_193546_2_0.0001_1_window_2,msds,1,normal_KL,Eadro,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,144915,2,0,200,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.015359625135149274,65.10575558980148,0.5572319030761719,19.533203125,112.17191624641418,0.7428603724928091,11940.33270375566,139.96923828125,0
msdstorai_(no mean)_normal_KL17_194040_2_1e-05_1_window_2,msds,1,normal_KL,torai,256,0,1e-05,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,0,2,0,1000,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9976190476190476,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,7.214092072986422e-05,13861.75820717006,0,0,0,0,0,0,0
msdsAnofusion_(no mean)_normal_KL17_202311_2_0.0001_1_window_2,msds,1,normal_KL,Anofusion,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,17808,2,0,200,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.016981385094778877,58.88801145599493,0.072113037109375,24.5986328125,151.11308670043945,0.7555654335021973,11739.55240234558,48.6005859375,0
msdsvlinear_(no mean)_normal_KL17_203016_2_0.0001_1_window_2,msds,1,normal_KL,vlinear,8,0,0.0001,0.9961904761904762,0.9952380952380953,1.0,1.0,0.9984761904761905,6042,2,0,200,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9984761904761905,0.002006791191019564,0.04734848484848485,0.01775120008559454,56.33421938675123,0.02498626708984375,17.4345703125,128.7267677783966,0.643633838891983,13781.127504529164,45.859375,0
msdsEadro_(no mean)_normal_KL17_203639_2_0.0001_1_window_2,msds,1,normal_KL,Eadro,8,0,0.0001,0.0038095238095238095,0.004761904761904762,1.0,1.0,0.6016190476190476,140819,2,0,200,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.19923809523809524,0.0,0.0,0.9961904761904762,0.9961904761904762,0.6016190476190476,0.48791528389981653,0.04734848484848485,0.018459394091651555,54.17295903836085,0.5392570495605469,19.46875,158.75634121894836,0.7937817060947419,11174.356793429704,138.77978515625,0
msdsEadro_(no mean)_normal_KL17_204302_2_0.0001_1_window_2,msds,1,normal_KL,Eadro,12,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,142867,2,0,200,0,0,128,2,10,0,normal,gated,aerca_based,0.5,0.5,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.017069727125621978,58.58324463189464,0.5480613708496094,19.5009765625,137.1739091873169,0.8069053481606876,10992.615206007562,139.37451171875,0
