scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,flops,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,avg_power_w,total_energy_j,joules_per_sample
swatCUTS_PLUS_(no mean)_normal_KL29_152909_8_0.0001_2_window_8,swat,2,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.2,0.25,0.25,0.23500000000000001,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09394531323299725,0.05,0.05,0.1,0.15,0.23500000000000001,0.022912878474779193,1.0,0.045490680400052955,21.982524578789018,0.567840576171875,789.578125,0,0,0,0,1,0,4.356295383957521,3.844361713619948,0.1922180856809974
swatvlinear_(no mean)_normal_KL29_152919_8_0.0001_2_window_8,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.45,0.35000000000000003,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09107961464578981,0.05,0.05,0.05,0.15,0.35000000000000003,0.08660254037844388,1.0,0.00847104434992616,118.0491989761235,0.6311378479003906,795.625,0,0,0,0,1,0,4.923080906715236,0.7466187953765396,0.03733093976882698
swatcMLP_(no mean)_normal_KL29_152928_8_0.0001_2_window_8,swat,2,normal_KL,cMLP,128,0,0.0001,0.1,0.25,0.25,0.5,0.29500000000000004,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05364866924101488,0.0,0.0,0.0,0.0,0.29500000000000004,0.1105667219374799,1.0,0.012231849399995554,81.75378614458444,9.158504486083984,806.875,0,0,0,0,1,0,4.610539019501605,1.0720913344450116,0.05360456672225058
swatdeep_mlp_(no mean)_normal_KL29_152938_8_0.0001_2_window_8,swat,2,normal_KL,deep_mlp,128,0,0.0001,0.15,0.25,0.3,0.45,0.34,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04281164255837586,0.0,0.0,0.0,0.05,0.34,0.10198039027185571,1.0,0.07302094594988376,13.694700705278825,36.88962173461914,851.359375,0,0,0,0,1,0,4.31140938253165,6.235654112022809,0.31178270560114046
swatiTransformer_(no mean)_normal_KL29_152949_8_0.0001_2_window_8,swat,2,normal_KL,iTransformer,128,0,0.0001,0.15,0.15,0.2,0.35,0.23000000000000004,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.09524960062798614,0.0,0.1,0.1,0.25,0.23000000000000004,0.08426149773176357,1.0,0.009049101849996077,110.50820474525143,0.9864616394042969,790.96875,0,0,0,0,1,0,4.6754275122648306,0.6540994105952953,0.03270497052976477
swatTimeMixerpp_(no mean)_normal_KL29_152958_8_0.0001_2_window_8,swat,2,normal_KL,TimeMixerpp,128,0,0.0001,0.15,0.2,0.25,0.375,0.2525,160485,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04831895551496,0.0,0.0,0.0,0.15,0.2525,0.06656763477847175,1.0,0.018518066200067552,54.00131899281968,3.2719764709472656,795.9375,0,0,0,0,1,0,3.7099298524205184,1.3310079274540187,0.06655039637270094
swatGVAR_(no mean)_normal_KL29_153008_8_0.0001_3_window_8,swat,3,normal_KL,GVAR,128,0,0.0001,0.25,0.25,0.35,0.4,0.33499999999999996,3204383,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.05347222821537155,0.0,0.0,0.0,0.15,0.33499999999999996,0.07088723439378913,1.0,0.023046141799886753,43.39121093166727,12.442119598388672,813.140625,0,0,0,0,1,0,4.443356577195141,2.034777614237078,0.10173888071185391
swatcLSTM_(no mean)_normal_KL29_153017_8_0.0001_3_window_8,swat,3,normal_KL,cLSTM,128,0,0.0001,0.3,0.35,0.35,0.35,0.33999999999999997,4732851,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03899214421289609,0.0,0.0,0.0,0.1,0.33999999999999997,0.019999999999999997,1.0,0.03968833040003119,25.196323199305308,18.272762298583984,809.09375,0,0,0,0,1,0,4.594843315006126,3.450197228469099,0.17250986142345495
swatCUTS_PLUS_(no mean)_normal_KL29_153028_8_0.0001_3_window_8,swat,3,normal_KL,CUTS_PLUS,128,0,0.0001,0.2,0.25,0.3,0.4,0.31499999999999995,91612,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04287586564157734,0.0,0.0,0.0,0.0,0.31499999999999995,0.07433034373659253,1.0,0.0505554157500228,19.780274480277594,0.567840576171875,789.546875,0,0,0,0,1,0,3.2619240391215683,3.1795956529880236,0.15897978264940119
swatvlinear_(no mean)_normal_KL29_153038_8_0.0001_3_window_8,swat,3,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.35,0.305,108141,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08220860570418512,0.0,0.05,0.1,0.25,0.305,0.04716990566028301,1.0,0.007899243000065326,126.59440910878803,0.6311378479003906,795.390625,0,0,0,0,1,0,4.653263991482715,0.6594319325714245,0.03297159662857123
swatcMLP_(no mean)_normal_KL29_153047_8_0.0001_3_window_8,swat,3,normal_KL,cMLP,128,0,0.0001,0.1,0.2,0.3,0.55,0.34500000000000003,2343603,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.058685313822373186,0.0,0.0,0.0,0.1,0.34500000000000003,0.14739402972983676,1.0,0.012581380749952586,79.48253215401407,9.158504486083984,806.84375,0,0,0,0,1,0,4.501359052349868,1.05543116296547,0.0527715581482735
swatdeep_mlp_(no mean)_normal_KL29_153057_8_0.0001_3_window_8,swat,3,normal_KL,deep_mlp,128,0,0.0001,0.15,0.3,0.35,0.5,0.37,9613149,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.035865820487011695,0.0,0.0,0.0,0.05,0.37,0.11661903789690602,1.0,0.0771464389499215,12.96236110974786,36.88962173461914,851.3125,0,0,0,0,1,0,4.440583663063261,6.880817433798601,0.34404087168993003
swatiTransformer_(no mean)_normal_KL29_153108_8_0.0001_3_window_8,swat,3,normal_KL,iTransformer,128,0,0.0001,0.15,0.15,0.2,0.375,0.255,201351,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07033552687753403,0.0,0.1,0.15,0.2,0.255,0.09273618495495704,1.0,0.008214726799951676,121.73259371277966,0.9864616394042969,790.953125,0,0,0,0,1,0,4.663204671257435,0.7277349826612382,0.036386749133061905
swatTimeMixerpp_(no mean)_normal_KL29_153117_8_0.0001_3_window_8,swat,3,normal_KL,TimeMixerpp,128,0,0.0001,0.15,0.25,0.25,0.325,0.2475,160485,0,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07042359450636726,0.0,0.0,0.05,0.25,0.2475,0.045345892868042637,1.0,0.017960336450005342,55.678244268063395,3.2719764709472656,795.921875,0,0,0,0,1,0,4.015284714139198,1.2971224659562026,0.06485612329781013
