scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj,use_MoM,latent_mode,context,pool,coeff_mode,predictor,batch_size
vlinear_swat_ws_4_seed_1_numvars_51_13_172047_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.35,0.45,0.45,0.395,73501,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07373600644411091,0.0,0.0,0.1,0.2,0.395,0.08200609733428363,1.0,0.13397698402404784,7.463968585981213,0.4988136291503906,19.3427734375,390.84671449661255,1.9542335724830628,16885.90374489946,704.81689453125,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_8_seed_1_numvars_51_13_173103_,swat,1,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.3,0.4,0.315,74221,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.058033142871191455,0.0,0.0,0.05,0.2,0.315,0.050249378105604446,1.0,0.13931273221969603,7.178094809188015,0.5017433166503906,20.3427734375,1094.6078140735626,5.473039070367813,9044.15250166914,1631.27197265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_16_seed_1_numvars_51_13_175523_,swat,1,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.35,0.4,0.315,75661,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.10705044229714636,0.05,0.05,0.05,0.2,0.315,0.07762087348130012,1.0,0.13572280406951903,7.367958589241839,0.5079689025878906,22.34423828125,1029.6207911968231,5.148103955984116,4807.400979390083,3462.8173828125,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_4_seed_2_numvars_51_13_181649_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.2,0.35,0.35,0.3,73501,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0656561910787917,0.0,0.05,0.05,0.2,0.3,0.06708203932499368,1.0,0.14177842140197755,7.0532595165857295,0.4988136291503906,19.3427734375,414.1271347999573,2.0706356739997864,15936.651924989197,704.81689453125,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_8_seed_2_numvars_51_13_182748_,swat,2,normal_KL,vlinear,128,0,0.0001,0.25,0.25,0.35,0.4,0.315,74221,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08259648065826761,0.0,0.1,0.15,0.2,0.315,0.05499999999999999,1.0,0.1344698190689087,7.436612965825087,0.5017433166503906,20.3427734375,1094.721241235733,5.4736062061786654,9043.215411464018,1631.27197265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_16_seed_2_numvars_51_13_185207_,swat,2,normal_KL,vlinear,128,0,0.0001,0.2,0.3,0.3,0.4,0.315,75661,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.12394718288762256,0.05,0.05,0.2,0.25,0.315,0.05499999999999999,1.0,0.23011229038238526,4.345704431250789,0.5079689025878906,22.34423828125,1029.0419976711273,5.145209988355637,4810.104943434886,3462.818359375,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_4_seed_3_numvars_51_13_191337_,swat,3,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.25,0.45,0.31,73501,4,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.0357074268962322,0.0,0.0,0.0,0.05,0.31,0.08,1.0,0.13020896911621094,7.6799625001831044,0.4988136291503906,19.3427734375,414.142103433609,2.070710517168045,15936.075915203373,704.81689453125,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_8_seed_3_numvars_51_13_192438_,swat,3,normal_KL,vlinear,128,0,0.0001,0.15,0.25,0.35,0.45,0.335,74221,8,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.08246851554744962,0.0,0.1,0.15,0.2,0.335,0.0895823643358446,1.0,0.14064228534698486,7.110237134819413,0.5017433166503906,20.3427734375,1096.709540605545,5.4835477030277255,9026.820350750166,1631.27197265625,1,0,0,mul,linear_attn,max,symmetric,linear,512
vlinear_swat_ws_16_seed_3_numvars_51_13_194916_,swat,3,normal_KL,vlinear,128,0,0.0001,0.2,0.25,0.4,0.4,0.35,75661,16,0,200,0,0,128,2,51,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.005,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.07570547178624838,0.0,0.05,0.1,0.15,0.35,0.07745966692414834,1.0,0.2228831648826599,4.486655600598926,0.5079689025878906,22.34423828125,1029.8293812274933,5.149146906137466,4806.427249240202,3462.8173828125,1,0,0,mul,linear_attn,max,symmetric,linear,512
