scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer,disable_orth_proj
gaiavlinear_(no mean)_normal_KL28_123937_12_0.0001_2_window_12,gaia,2,normal_KL,vlinear,256,0,0.0001,0.30857142857142855,0.2980952380952381,0.32257142857142856,0.3628571428571425,0.32408820861677995,178966,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03200053638562955,0.0,0.0,0.0,0.037142857142857144,0.32408820861677995,0.031909370023887794,1.0,0.13006113869803293,7.688691718451979,1.4622955322265625,21.77490234375,370.99207496643066,5.983743144619849,13333.292902409277,1456.10986328125,0,0
gaiaGVAR_(no mean)_normal_KL28_125045_12_0.0001_2_window_12,gaia,2,normal_KL,GVAR,256,0,0.0001,0.2714285714285714,0.20666666666666653,0.18628571428571444,0.1940952380952381,0.20043492063492066,7934828,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03073059371705988,0.0,0.0,0.0,0.0,0.20043492063492066,0.02612877407126326,1.0,0.09662438120160784,10.349354764958225,31.048011779785156,140.9111328125,95.55125880241394,4.343239036473361,18369.470188033327,408.58056640625,0,0
gaiatorai_(no mean)_normal_KL28_130017_12_0.0001_2_window_12,gaia,2,normal_KL,torai,128,0,0.0001,0.21428571428571427,0.21809523809523787,0.35580952380952363,0.6109523809523794,0.41785532879818577,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37653400812291393,0.21428571428571427,0.37142857142857144,0.5485714285714286,0.8171428571428572,0.41785532879818577,0.18046960699564224,1.0,0,0,0,0,0,0,0,0,0,0
gaiabaro_(no mean)_normal_KL28_130338_12_0.0001_2_window_12,gaia,2,normal_KL,baro,128,0,0.0001,0.14285714285714285,0.1476190476190477,0.2024761904761909,0.2517142857142856,0.19427165532879828,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25588042373789016,0.20857142857142857,0.22857142857142856,0.25142857142857145,0.30857142857142855,0.19427165532879828,0.05309703999696643,1.0,0,0,0,0,0,0,0,0,0,0
gaiarcd_(no mean)_normal_KL28_130443_12_0.0001_2_window_12,gaia,2,normal_KL,rcd,128,0,0.0001,0.14,0.1714285714285718,0.23161904761904842,0.2713333333333337,0.217964739229025,0,12,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.25294243288713336,0.2,0.2,0.30857142857142855,0.30857142857142855,0.217964739229025,0.06593957530962818,1.0,0,0,0,0,0,0,0,0,0,0
gaiacLSTM_(no mean)_normal_KL28_130721_12_0.0001_2_window_12,gaia,2,normal_KL,cLSTM,256,0,0.0001,0.26571428571428574,0.19428571428571412,0.23657142857142796,0.3513333333333327,0.22766405895691594,15782450,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.04751169111240803,0.0,0.037142857142857144,0.037142857142857144,0.12285714285714286,0.22766405895691594,0.0485608004542839,1.0,0.0968305710383824,10.327316975169058,60.98431396484375,282.79150390625,495.7034740447998,19.828138961791993,4023.7260871400263,2004.10107421875,0,0
gaiaCUTS_PLUS_(no mean)_normal_KL28_134702_12_0.0001_2_window_12,gaia,2,normal_KL,CUTS_PLUS,256,0,0.0001,0.2057142857142857,0.16476190476190458,0.18933333333333333,0.3090476190476197,0.22206995464852614,274738,12,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.060609002753963685,0.0,0.0,0.0,0.03142857142857143,0.22206995464852614,0.04746737293631222,1.0,0.09381843566894531,10.658885888149683,1.82708740234375,21.65771484375,19568.273645162582,97.84136822581291,815.4321780932671,3255.88720703125,0,0
gaiavlinear_(no mean)_normal_KL28_212450_14_0.0001_2_window_14,gaia,2,normal_KL,vlinear,256,0,0.0001,0.31142857142857144,0.27238095238095256,0.309523809523809,0.34809523809523796,0.3119058956916098,180506,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03658994036981391,0.0,0.002857142857142857,0.037142857142857144,0.037142857142857144,0.3119058956916098,0.027423992805565654,1.0,0.09645819391523089,10.367185610781984,1.4683685302734375,21.9375,181.07245898246765,5.84104706395057,11705.606760469445,1716.32861328125,0,0
gaiaGVAR_(no mean)_normal_KL28_213125_14_0.0001_2_window_14,gaia,2,normal_KL,GVAR,256,0,0.0001,0.18,0.28190476190476166,0.35752380952380963,0.38152380952380927,0.3297397959183673,9377524,14,0,200,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.03770231369793909,0.0,0.0,0.0,0.002857142857142857,0.3297397959183673,0.06458489008527125,1.0,0.10238395895276751,9.767155033156385,36.55146026611328,164.34619140625,200.9363408088684,4.10074164916058,16673.325424925497,477.89306640625,0,0
gaiatorai_(no mean)_normal_KL28_214316_14_0.0001_2_window_14,gaia,2,normal_KL,torai,128,0,0.0001,0.21142857142857144,0.21238095238095211,0.35752380952380935,0.610666666666665,0.41633492063492045,0,14,0,100,0,0,128,2,50,0,normal,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3718425012171213,0.21142857142857144,0.3628571428571429,0.5457142857142857,0.8171428571428572,0.41633492063492045,0.1823531356589627,1.0,0,0,0,0,0,0,0,0,0,0
