scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb
smdrcd_(no mean)_normal_KL08_082041_10_0.0001_1_window_10,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0
smdtorai_(no mean)_normal_KL08_082239_10_0.0001_1_window_10,smd,1,normal_KL,torai,256,2,0.0001,0.27076923076923076,0.25641025641025644,0.2725128205128205,0.32211965811965815,0.28314432234432235,0,10,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.37102917779406547,0.27076923076923076,0.38769230769230767,0.4553846153846154,0.5384615384615384,0.28314432234432235,0.02140318040963742,1.0,0,0,0,0
smdvlinear_(no mean)_normal_KL08_082555_20_0.0001_1_window_20,smd,1,normal_KL,vlinear,16,2,0.0001,0.3476923076923077,0.3533333333333332,0.3477435897435897,0.3689499389499392,0.355141391941392,175910,20,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4680356025060038,0.3476923076923077,0.5384615384615384,0.5876923076923077,0.6646153846153846,0.355141391941392,0.0072955326434727685,1.0,0.10766889498783992,9.287733473190558,0.876678466796875,21.18017578125
smdGVAR_(no mean)_normal_KL08_084100_20_0.0001_1_window_20,smd,1,normal_KL,GVAR,256,2,0.0001,0.14153846153846153,0.17179487179487188,0.1810256410256411,0.2539621489621493,0.19467997557997566,3947820,20,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2850426889675997,0.14153846153846153,0.3076923076923077,0.39692307692307693,0.5846153846153846,0.19467997557997566,0.03401066729920667,1.0,0.07782558514521672,12.849244861237791,15.263847351074219,77.84033203125
smdrcd_(no mean)_normal_KL08_085421_20_0.0001_1_window_20,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0
smdtorai_(no mean)_normal_KL08_085639_20_0.0001_1_window_20,smd,1,normal_KL,torai,256,2,0.0001,0.25846153846153846,0.2641025641025641,0.27815384615384603,0.32778266178266185,0.28650341880341884,0,20,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.35520019192166574,0.25846153846153846,0.37846153846153846,0.4307692307692308,0.5107692307692308,0.28650341880341884,0.02311870930485947,1.0,0,0,0,0
smdvlinear_(no mean)_normal_KL08_090000_30_0.0001_1_window_30,smd,1,normal_KL,vlinear,16,2,0.0001,0.36615384615384616,0.32923076923076916,0.30564102564102563,0.31612210012209996,0.320510989010989,183610,30,0,200,0,0,16,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4662270024972724,0.36615384615384616,0.52,0.5476923076923077,0.6153846153846154,0.320510989010989,0.019095703397683437,1.0,0.08776605972876915,11.393926115521014,0.907958984375,22.4970703125
smdGVAR_(no mean)_normal_KL08_091334_30_0.0001_1_window_30,smd,1,normal_KL,GVAR,256,2,0.0001,0.15692307692307692,0.17025641025641036,0.1745641025641026,0.23781440781440774,0.18921758241758244,6025620,30,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2941736380279831,0.15692307692307692,0.3169230769230769,0.38769230769230767,0.5815384615384616,0.18921758241758244,0.025369522387124935,1.0,0.0802037840623122,12.468239643444711,23.190025329589844,109.62060546875
smdrcd_(no mean)_normal_KL08_092610_30_0.0001_1_window_30,smd,1,normal_KL,rcd,256,2,0.0001,0.003076923076923077,0.14820512820512832,0.2273333333333336,0.6202869352869352,0.30643833943833954,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4103020798189384,0.3630769230769231,0.40307692307692305,0.4153846153846154,0.4584615384615385,0.30643833943833954,0.1901942618272424,1.0,0,0,0,0
smdtorai_(no mean)_normal_KL08_092843_30_0.0001_1_window_30,smd,1,normal_KL,torai,256,2,0.0001,0.27692307692307694,0.25179487179487176,0.2603076923076922,0.30800122100122107,0.2737857142857142,0,30,0,100,0,0,128,2,38,0,normal,gated,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.3622285821446372,0.27692307692307694,0.36,0.42153846153846153,0.5076923076923077,0.2737857142857142,0.018052739614262046,1.0,0,0,0,0
smdcLSTM_(no mean)_normal_KL08_093201_4_0.0001_1_window_4,smd,1,normal_KL,cLSTM,256,2,0.0001,0.3384615384615385,0.33538461538461506,0.37553846153846165,0.46651770451770463,0.39039304029304034,3273510,4,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.4890465201786346,0.3384615384615385,0.563076923076923,0.6461538461538462,0.7723076923076924,0.39039304029304034,0.04823308410231507,1.0,0.0747625549022968,13.375679861487434,12.691558837890625,70.2177734375
smdcLSTM_(no mean)_normal_KL08_112637_6_0.0001_1_window_6,smd,1,normal_KL,cLSTM,256,2,0.0001,0.3353846153846154,0.2979487179487176,0.31343589743589756,0.37736996336996353,0.3288908424908425,3273510,6,0,200,0,0,256,2,38,0,mag_phase,attention,aerca_based,1.0,1.0,0.5,0.5,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.45261986918740116,0.3353846153846154,0.5107692307692308,0.5507692307692308,0.676923076923077,0.3288908424908425,0.026779915394960344,1.0,0.09366212918208196,10.676673792627223,12.691558837890625,69.61669921875
