scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_100123_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.9,0.6299999999999998,0.6018333333333333,0.7619999999999999,0.7086833333333333,319487,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_100351_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.7066666666666666,0.6399999999999997,0.8178333333333329,0.7456999999999997,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_100710_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7133333333333333,0.6729999999999998,0.8066666666666662,0.7563166666666665,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_101028_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.91,0.6766666666666667,0.64,0.8008333333333328,0.7377666666666667,436319,7,0,100,0,0,32,2,40,0.2
lotka_volterradeep_mlp_(no mean)_normal_KL17_101534_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.4000000000000003,0.4056666666666668,0.6051666666666665,0.47663333333333335,1810200,7,0,100,0,0,32,2,40,0.3
lotka_volterradeep_mlp_(no mean)_normal_KL17_101859_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,0.5,0.4266666666666667,0.41633333333333333,0.6160000000000001,0.49121666666666675,1810200,7,0,100,0,0,32,2,40,0.3
lotka_volterradeep_mlp_(no mean)_normal_KL17_102224_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,32,2,0.0001,0.58,0.44666666666666677,0.4426666666666668,0.6406666666666666,0.5217,1810200,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_102403_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.87,0.6333333333333332,0.5686666666666667,0.7569999999999996,0.6862666666666666,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_102632_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.88,0.6366666666666664,0.6178333333333333,0.7691666666666663,0.7036999999999999,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL17_102902_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.89,0.6266666666666665,0.6036666666666667,0.7689999999999998,0.7094333333333332,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_103132_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.85,0.6399999999999999,0.5706666666666667,0.7613333333333333,0.6840499999999999,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_103359_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.6399999999999999,0.6153333333333333,0.7616666666666664,0.6993999999999999,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL17_103628_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.88,0.6233333333333331,0.6045,0.7703333333333332,0.7075666666666667,319487,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_103856_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.87,0.7166666666666666,0.651833333333333,0.8124999999999997,0.7475999999999998,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_104213_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.89,0.7233333333333332,0.6609999999999998,0.8104999999999996,0.7554833333333331,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL17_104532_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.9,0.6766666666666667,0.6439999999999999,0.8036666666666663,0.7373166666666666,436319,7,0,100,0,0,32,2,40,0.3
lotka_volterradeep_mlp_(no mean)_normal_KL17_105037_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,0.54,0.4000000000000003,0.4056666666666668,0.6051666666666665,0.4770833333333334,1810200,7,0,100,0,0,32,2,40,0.4
