scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL03_190356_5_0.0001_1_window_5,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.21000000000000002,0.39,0.44000000000000006,0.46499999999999997,0.4035,6412987,5,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_193310_5_0.0001_2_window_5,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.26,0.33999999999999997,0.35,0.35,0.337,6412987,5,0,100,0,0,256,4
swatTemporalGNN_Attention_(no mean)_normal_KL03_200236_5_0.0001_3_window_5,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.12999999999999998,0.24,0.29000000000000004,0.35500000000000004,0.2775,6412987,5,0,100,0,0,256,4
swatdeep_mlp_(no mean)_normal_KL04_054923_2_1e-06_1_window_2,swat,1,normal_KL,deep_mlp,256,2,1e-06,0.3,0.4,0.4,0.475,0.41,57975606,2,1,5000,0,0,128,2
msdsdeep_mlp_(no mean)_normal_KL04_074341_2_1e-06_1_window_2,msds,1,normal_KL,deep_mlp,128,2,1e-06,0.6746031746031746,1.0,1.0,1.0,0.9365079365079365,18684600,2,1,5000,0,0,128,2
swatdeep_mlp_(no mean)_normal_KL04_075548_3_1e-06_1_window_3,swat,1,normal_KL,deep_mlp,256,2,1e-06,0.3333333333333333,0.375,0.375,0.5,0.4133333333333333,86963409,3,1,5000,0,0,128,2
msdsdeep_mlp_(no mean)_normal_KL04_121751_3_1e-06_1_window_3,msds,1,normal_KL,deep_mlp,128,2,1e-06,0.5780141843971631,0.6205673758865249,0.9148936170212766,1.0,0.8556737588652481,28026900,3,1,5000,0,0,128,2
swatdeep_mlp_(no mean)_normal_KL04_123016_2_1e-06_2_window_2,swat,2,normal_KL,deep_mlp,256,2,1e-06,0.25,0.35,0.375,0.4,0.35875,57975606,2,1,5000,0,0,128,2
msdsdeep_mlp_(no mean)_normal_KL04_145554_2_1e-06_2_window_2,msds,2,normal_KL,deep_mlp,128,2,1e-06,0.3333333333333333,0.9365079365079365,1.0,1.0,0.9063492063492063,18684600,2,1,5000,0,0,128,2
swatdeep_mlp_(no mean)_normal_KL04_150544_3_1e-06_2_window_3,swat,2,normal_KL,deep_mlp,256,2,1e-06,0.29999999999999993,0.41666666666666663,0.4833333333333333,0.5666666666666667,0.4883333333333333,86963409,3,1,5000,0,0,128,2
msdsdeep_mlp_(no mean)_normal_KL04_185711_3_1e-06_2_window_3,msds,2,normal_KL,deep_mlp,128,2,1e-06,0.39007092198581556,0.9361702127659575,1.0,1.0,0.9092198581560285,28026900,3,1,5000,0,0,128,2
swatdeep_mlp_(no mean)_normal_KL04_190757_2_1e-06_3_window_2,swat,3,normal_KL,deep_mlp,256,2,1e-06,0.1,0.25,0.35,0.45,0.3425,57975606,2,1,5000,0,0,128,2
msdsdeep_mlp_(no mean)_normal_KL04_191438_2_1e-06_3_window_2,msds,3,normal_KL,deep_mlp,128,2,1e-06,0.29365079365079366,0.9682539682539683,1.0,1.0,0.8944444444444445,18684600,2,1,5000,0,0,128,2
swatdeep_mlp_(no mean)_normal_KL04_192551_3_1e-06_3_window_3,swat,3,normal_KL,deep_mlp,256,2,1e-06,0.1,0.26666666666666666,0.4,0.45,0.35000000000000003,86963409,3,1,5000,0,0,128,2
msdsdeep_mlp_(no mean)_normal_KL04_193438_3_1e-06_3_window_3,msds,3,normal_KL,deep_mlp,128,2,1e-06,0.33687943262411346,0.925531914893617,1.0,1.0,0.8957446808510638,28026900,3,1,5000,0,0,128,2
