scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
lorenz96deep_mlp_(no mean)_normal_KL14_192628_1_0.0001_2_window_1,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.72,0.7033333333333328,0.7183333333333327,0.7431150793650794,0.7213904761904761,397800,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_192817_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.76,0.7366666666666665,0.7396666666666663,0.7736547619047617,0.753595238095238,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_193110_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.79,0.7533333333333334,0.7296666666666666,0.7647936507936508,0.7511035714285714,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_193406_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.76,0.7366666666666665,0.7396666666666663,0.7736547619047617,0.753595238095238,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_193703_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.79,0.7533333333333334,0.7296666666666666,0.7647936507936508,0.7511035714285714,425065,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_194000_1_0.0001_1_window_1,lorenz96,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.72,0.7266666666666665,0.7361666666666662,0.7765714285714285,0.7433809523809523,600301,1,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_194422_1_0.0001_2_window_1,lorenz96,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.77,0.7833333333333331,0.7838333333333328,0.7680992063492061,0.7744742063492063,600301,1,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_201248_5_0.0001_1_window_5,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.53,0.5433333333333333,0.5293333333333335,0.5428174603174605,0.5351654761904762,1989000,5,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_201828_5_0.0001_2_window_5,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.64,0.6399999999999997,0.6291666666666664,0.6329563492063494,0.6339642857142856,1989000,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_202406_5_0.0001_1_window_5,lorenz96,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.49,0.5166666666666669,0.49700000000000005,0.5147301587301588,0.5047261904761905,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_203316_5_0.0001_2_window_5,lorenz96,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.51,0.5466666666666665,0.5243333333333333,0.5466150793650794,0.5301571428571428,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_204227_5_0.0001_1_window_5,lorenz96,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.48,0.5200000000000002,0.49700000000000005,0.5147301587301588,0.5043095238095239,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_205139_5_0.0001_2_window_5,lorenz96,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.51,0.5466666666666665,0.5243333333333333,0.5466150793650794,0.5306571428571427,425193,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_210049_5_0.0001_1_window_5,lorenz96,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.74,0.7233333333333332,0.7201666666666661,0.7646388888888886,0.7366194444444443,600493,5,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_211355_5_0.0001_2_window_5,lorenz96,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.7,0.7516666666666667,0.7431666666666662,0.7708849206349204,0.7475313492063492,600493,5,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_215117_7_0.0001_1_window_7,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.57,0.525,0.5081666666666667,0.5229523809523811,0.5226051587301587,2784600,7,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_215850_7_0.0001_2_window_7,lorenz96,2,normal_KL,deep_mlp,32,2,0.0001,0.65,0.5766666666666665,0.5709999999999996,0.5835833333333332,0.5808182539682539,2784600,7,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_220628_7_0.0001_1_window_7,lorenz96,1,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.5,0.4966666666666667,0.4960000000000002,0.5052698412698414,0.5025988095238096,425257,7,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_(no mean)_normal_KL14_221900_7_0.0001_2_window_7,lorenz96,2,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.51,0.5266666666666668,0.5189999999999998,0.5238611111111111,0.5201694444444444,425257,7,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_223136_7_0.0001_1_window_7,lorenz96,1,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.5,0.4966666666666667,0.4960000000000002,0.5052698412698414,0.5025988095238096,425257,7,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_fourier_(no mean)_normal_KL14_224411_7_0.0001_2_window_7,lorenz96,2,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.51,0.5300000000000001,0.5189999999999998,0.5236111111111111,0.5206345238095238,425257,7,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_225644_7_0.0001_1_window_7,lorenz96,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.69,0.7149999999999995,0.7196666666666661,0.7535992063492064,0.7212880952380951,600589,7,0,100,0,0,32,2
lorenz96TemporalGNN_Attention_crossattn_(no mean)_normal_KL14_231425_7_0.0001_2_window_7,lorenz96,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.71,0.7149999999999997,0.7266666666666661,0.7516666666666665,0.7248067460317458,600589,7,0,100,0,0,32,2
lorenz96deep_mlp_(no mean)_normal_KL14_235707_10_0.0001_1_window_10,lorenz96,1,normal_KL,deep_mlp,32,2,0.0001,0.52,0.5233333333333335,0.5131666666666667,0.49037301587301607,0.5061567460317461,3978000,10,0,100,0,0,32,2
lotka_volterradeep_mlp_(no mean)_normal_KL15_002415_1_0.0001_1_window_1,lotka_volterra,1,normal_KL,deep_mlp,32,2,0.0001,1.0,0.9966666666666667,0.9975,1.0,0.9988333333333334,258600,1,0,100,0,0,32,2
lotka_volterradeep_mlp_(no mean)_normal_KL15_002505_1_0.0001_2_window_1,lotka_volterra,2,normal_KL,deep_mlp,32,2,0.0001,1.0,1.0,1.0,1.0,1.0,258600,1,0,100,0,0,32,2
6 vars
