scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_171934_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.7,0.5533333333333332,0.5270000000000001,0.7066666666666663,0.6138333333333332,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_172255_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.72,0.5433333333333331,0.534,0.7096666666666664,0.6203166666666665,5552711,7,0,100,0,0,32,2,40,1.1,mag_phase,concat
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL18_172841_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.86,0.6499999999999997,0.627,0.8104999999999997,0.7237833333333331,319487,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_173108_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.92,0.7066666666666664,0.6563333333333332,0.813333333333333,0.7593333333333332,429184,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_173429_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.79,0.5866666666666664,0.5793333333333335,0.7616666666666663,0.6667500000000001,427871,7,0,100,0,0,32,2,40,1.1,normal,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_173748_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.75,0.5933333333333335,0.5826666666666668,0.7581666666666663,0.6633333333333333,5549471,7,0,100,0,0,32,2,40,1.1,normal,concat
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_174144_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.93,0.7266666666666665,0.6593333333333332,0.8211666666666666,0.7637499999999998,432424,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_174507_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.77,0.5766666666666665,0.5671666666666668,0.7603333333333331,0.6636000000000001,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_174827_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.8,0.5499999999999998,0.5571666666666668,0.7614999999999995,0.6579499999999999,5552711,7,0,100,0,0,32,2,40,1.1,mag_phase,concat
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL18_175415_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.83,0.6099999999999999,0.5796666666666664,0.7481666666666665,0.6739833333333332,319487,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_175644_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.86,0.6366666666666664,0.6154999999999999,0.7978333333333331,0.7041499999999998,429184,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_180004_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.69,0.5166666666666667,0.5268333333333334,0.6906666666666659,0.6025833333333332,427871,7,0,100,0,0,32,2,40,1.1,normal,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_180323_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.71,0.52,0.532,0.7048333333333328,0.6083166666666665,5549471,7,0,100,0,0,32,2,40,1.1,normal,concat
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_180720_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.83,0.6166666666666667,0.596,0.7759999999999998,0.6911333333333332,432424,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_181044_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.73,0.5366666666666666,0.5125000000000001,0.6874999999999994,0.5973499999999999,431111,7,0,100,0,0,32,2,40,1.1,mag_phase,sum
lotka_volterraTemporalGNN_Attention_fourier_(no mean)_normal_KL18_181403_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_fourier,32,2,0.0001,0.71,0.5333333333333334,0.5181666666666667,0.6931666666666662,0.6061500000000001,5552711,7,0,100,0,0,32,2,40,1.1,mag_phase,concat
lotka_volterraTemporalGNN_Attention_(no mean)_normal_KL18_181951_7_0.0001_6_window_7,lotka_volterra,6,normal_KL,TemporalGNN_Attention,32,2,0.0001,0.87,0.6466666666666664,0.6310000000000001,0.8299999999999998,0.7232666666666666,319487,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_182530_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.93,0.6499999999999997,0.6555,0.8234999999999998,0.7466333333333333,436319,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_182849_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.94,0.7066666666666664,0.6725,0.8556666666666665,0.7773999999999999,439559,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_183211_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.92,0.7233333333333332,0.6799999999999998,0.8396666666666665,0.7750166666666665,436319,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_183534_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.94,0.7366666666666665,0.688333333333333,0.8611666666666664,0.79335,439559,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_183856_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.91,0.7066666666666664,0.6431666666666664,0.8248333333333328,0.7503999999999997,436319,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_184219_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.9,0.6799999999999998,0.6681666666666666,0.8369999999999994,0.7596499999999998,439559,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_184541_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.94,0.7199999999999999,0.6748333333333334,0.8236666666666664,0.7688666666666666,436319,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_184905_7_0.0001_4_window_7,lotka_volterra,4,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.92,0.7233333333333334,0.6731666666666666,0.8459999999999998,0.7666166666666666,439559,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_185228_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.6666666666666667,0.6601666666666666,0.8386666666666666,0.7482666666666666,436319,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_185550_7_0.0001_5_window_7,lotka_volterra,5,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.88,0.6799999999999998,0.6638333333333333,0.8153333333333331,0.7497999999999999,439559,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_185913_7_0.0001_6_window_7,lotka_volterra,6,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.95,0.7199999999999998,0.6726666666666665,0.8416666666666665,0.7758666666666666,436319,7,0,100,0,0,32,2,40,1.1,normal,gated
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL18_190235_7_0.0001_6_window_7,lotka_volterra,6,normal_KL,TemporalGNN_Attention_crossattn,32,2,0.0001,0.92,0.7199999999999998,0.701833333333333,0.8449999999999999,0.7786666666666664,439559,7,0,100,0,0,32,2,40,1.1,mag_phase,gated
