scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num
swatTemporalGNN_Attention_(no mean)_normal_KL10_160528_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.22000000000000003,0.3,0.33999999999999997,0.44000000000000006,0.3485,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_160950_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.225,0.385,0.425,0.465,0.4035,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_161358_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.17500000000000002,0.305,0.365,0.43,0.34600000000000003,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_161759_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.26,0.32500000000000007,0.375,0.425,0.366,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_162149_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.09000000000000001,0.18,0.255,0.37,0.2565,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_162607_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.22999999999999998,0.35750000000000004,0.41500000000000004,0.495,0.40149999999999997,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_162950_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25000000000000006,0.27999999999999997,0.335,0.39,0.33,6414267,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_163408_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.32499999999999996,0.37499999999999994,0.41500000000000004,0.4625,0.4095000000000001,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_163859_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.315,0.39,0.46499999999999997,0.505,0.4415,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_164417_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.41,0.505,0.5424999999999999,0.5750000000000001,0.5237499999999999,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_164914_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.26,0.35,0.39499999999999996,0.485,0.39149999999999996,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_165401_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.25999999999999995,0.33499999999999996,0.42000000000000004,0.47000000000000003,0.39775,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_(no mean)_normal_KL10_165854_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention_crossattn,256,2,0.0001,0.29,0.34,0.37,0.39,0.36000000000000004,8539876,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_Legendre_(no mean)_normal_KL10_184635_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_crossattn_Legendre,256,2,0.0001,0.33999999999999997,0.395,0.4050000000000001,0.48500000000000004,0.4175000000000001,8540900,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_Legendre_(no mean)_normal_KL10_185250_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention_crossattn_Legendre,256,2,0.0001,0.22999999999999998,0.33999999999999997,0.38,0.4425,0.37074999999999997,8540900,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_Legendre_(no mean)_normal_KL10_185809_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention_crossattn_Legendre,256,2,0.0001,0.22000000000000003,0.30499999999999994,0.35,0.44499999999999995,0.35874999999999996,8540900,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_Legendre_(no mean)_normal_KL10_190313_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention_crossattn_Legendre,256,2,0.0001,0.22000000000000003,0.3175,0.37249999999999994,0.40249999999999997,0.35,8540900,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_crossattn_Legendre_(no mean)_normal_KL10_190822_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention_crossattn_Legendre,256,2,0.0001,0.23499999999999996,0.325,0.37,0.425,0.36224999999999996,8540900,10,0,1000,0,0,256,2
swatTemporalGNN_Attention_(no mean)_normal_KL10_194356_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.255,0.385,0.395,0.48999999999999994,0.3975,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL10_194755_10_0.0001_2_window_10,swat,2,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.18,0.27999999999999997,0.305,0.3950000000000001,0.3135,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL10_195157_10_0.0001_3_window_10,swat,3,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.38499999999999995,0.48,0.5200000000000001,0.5900000000000001,0.511,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL10_195527_10_0.0001_4_window_10,swat,4,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.19,0.26,0.335,0.42000000000000004,0.327,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL10_195937_10_0.0001_5_window_10,swat,5,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.24499999999999997,0.32999999999999996,0.4375000000000001,0.5549999999999999,0.425,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_(no mean)_normal_KL10_200341_10_0.0001_6_window_10,swat,6,normal_KL,TemporalGNN_Attention,256,2,0.0001,0.255,0.32,0.345,0.39999999999999997,0.3475,6414267,10,0,1000,0,0,256,1
swatTemporalGNN_Attention_fourier_(no mean)_normal_KL10_200822_10_0.0001_1_window_10,swat,1,normal_KL,TemporalGNN_Attention_fourier,256,2,0.0001,0.25,0.32,0.38,0.4425,0.36774999999999997,6414267,10,0,1000,0,0,256,1
