scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method
deep_mlp_(no mean)_normal_KL19_152619_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.04285714285714285,0.1392857142857143,0.20357142857142857,0.44642857142857145,0.22607142857142856,0,7,0,100,0,0,128,2,51,0,normal,gated
deep_mlp_(no mean)_normal_KL19_153503_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.04285714285714285,0.1392857142857143,0.20357142857142857,0.44642857142857145,0.22607142857142856,0,7,0,100,0,0,128,2,51,0,normal,gated
deep_mlp_(no mean)_normal_KL19_153705_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.04285714285714285,0.1392857142857143,0.20357142857142857,0.44642857142857145,0.22607142857142856,0,7,0,100,0,0,128,2,51,0,normal,gated
deep_mlp_(no mean)_normal_KL19_153806_7_0.0001_1_window_7,swat,1,normal_KL,deep_mlp,256,2,0.0001,0.04285714285714285,0.10357142857142856,0.1607142857142857,0.425,0.20607142857142854,0,7,0,100,0,0,128,2,51,0,normal,gated
