scheme,dataset_name,seed,correlated_KL,architecture,attention_dim,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_111009_12_0.0001_1_window_12,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.78,0.5266666666666666,0.49066666666666675,0.6749999999999998,0.5963833333333333,953095,12,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_111749_1_0.0001_1_window_1,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.77,0.5366666666666666,0.5080000000000002,0.648,0.58975,952007,1,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_112053_5_0.0001_1_window_5,lotka_volterra,1,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.77,0.5233333333333333,0.4875,0.6618333333333333,0.5893999999999999,952391,5,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_112606_12_0.0001_2_window_12,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.72,0.49333333333333335,0.4725000000000001,0.65,0.5656666666666668,953095,12,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_113203_1_0.0001_2_window_1,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.72,0.49999999999999994,0.4681666666666668,0.6418333333333334,0.5625833333333333,952007,1,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_113323_5_0.0001_2_window_5,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.8,0.5566666666666666,0.5045000000000001,0.6529999999999998,0.60275,952391,5,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_113618_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.95,0.7533333333333333,0.6898333333333332,0.8478333333333333,0.7874499999999999,952583,7,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_113959_10_0.0001_2_window_10,lotka_volterra,2,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.9,0.6566666666666664,0.5793333333333333,0.7513333333333334,0.6922499999999999,952903,10,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_114503_12_0.0001_3_window_12,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.81,0.5199999999999999,0.49500000000000016,0.6579999999999999,0.5935333333333335,953095,12,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_115102_1_0.0001_3_window_1,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.76,0.5233333333333331,0.4673333333333333,0.6556666666666665,0.5750333333333334,952007,1,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_115224_5_0.0001_3_window_5,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.74,0.49333333333333323,0.48766666666666686,0.6581666666666665,0.5793499999999999,952391,5,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_115518_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.91,0.7533333333333333,0.6748333333333334,0.8414999999999999,0.7768333333333334,952583,7,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
lotka_volterraTemporalGNN_Attention_crossattn_(no mean)_normal_KL23_115900_10_0.0001_3_window_10,lotka_volterra,3,normal_KL,TemporalGNN_Attention_crossattn,64,2,0.0001,0.86,0.6699999999999998,0.5986666666666668,0.7441666666666668,0.6965333333333333,952903,10,0,100,0,0,64,2,40,1.1,mag_phase,gated,aerca_based
deep_mlp_(no mean)_normal_KL23_120552_1_0.0001_1_window_1,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.09,0.1066666666666667,0.1263333333333333,0.22516666666666654,0.14451666666666663,120144,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_120816_5_0.0001_1_window_5,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.13,0.12000000000000002,0.15266666666666667,0.2751666666666664,0.17694999999999994,136528,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121046_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.17,0.1166666666666667,0.1416666666666667,0.27416666666666656,0.17821666666666663,140624,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121319_10_0.0001_1_window_10,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.2,0.1333333333333334,0.14616666666666667,0.2809999999999999,0.18904999999999997,157008,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121602_12_0.0001_1_window_12,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.1,0.09666666666666664,0.12766666666666665,0.26916666666666655,0.15681666666666666,169296,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121701_1_0.0001_2_window_1,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.1,0.09333333333333332,0.10549999999999998,0.2338333333333332,0.13969999999999996,120144,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121740_5_0.0001_2_window_5,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.11,0.13666666666666674,0.14666666666666667,0.24716666666666662,0.1682833333333333,136528,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121826_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.11,0.12,0.13300000000000003,0.2691666666666666,0.17344999999999994,140624,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_121914_10_0.0001_2_window_10,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.1,0.08666666666666664,0.13216666666666668,0.27233333333333315,0.16084999999999994,157008,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122009_12_0.0001_2_window_12,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.13,0.09666666666666666,0.14200000000000004,0.2888333333333332,0.17551666666666663,169296,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122106_1_0.0001_3_window_1,lotka_volterra,3,normal_KL,deep_mlp,64,2,0.0001,0.12,0.1066666666666667,0.11416666666666662,0.2391666666666665,0.1459333333333333,120144,1,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122144_5_0.0001_3_window_5,lotka_volterra,3,normal_KL,deep_mlp,64,2,0.0001,0.18,0.10333333333333333,0.12749999999999997,0.30299999999999977,0.1793166666666666,136528,5,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122228_7_0.0001_3_window_7,lotka_volterra,3,normal_KL,deep_mlp,64,2,0.0001,0.08,0.07999999999999996,0.11133333333333331,0.2893333333333332,0.15319999999999995,140624,7,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122317_10_0.0001_3_window_10,lotka_volterra,3,normal_KL,deep_mlp,64,2,0.0001,0.11,0.11333333333333336,0.11900000000000002,0.2586666666666666,0.15460000000000002,157008,10,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122410_12_0.0001_3_window_12,lotka_volterra,3,normal_KL,deep_mlp,64,2,0.0001,0.07,0.10333333333333332,0.1285,0.2473333333333332,0.15316666666666662,169296,12,0,100,0,0,128,2,40,1.1,normal,gated,FEDformer
deep_mlp_(no mean)_normal_KL23_122652_1_0.0001_1_window_1,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.13,0.11000000000000004,0.14333333333333334,0.26099999999999995,0.1747,50753,1,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_122911_5_0.0001_1_window_5,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.07,0.08666666666666664,0.09733333333333333,0.2434999999999999,0.1383333333333333,51269,5,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123130_7_0.0001_1_window_7,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.08,0.06333333333333331,0.08983333333333335,0.21033333333333323,0.11884999999999998,51527,7,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123351_10_0.0001_1_window_10,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.05,0.08666666666666666,0.12483333333333334,0.24116666666666653,0.14066666666666663,51914,10,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123610_12_0.0001_1_window_12,lotka_volterra,1,normal_KL,deep_mlp,64,2,0.0001,0.12,0.0833333333333333,0.128,0.2126666666666666,0.14233333333333328,52172,12,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123649_1_0.0001_2_window_1,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.14,0.12666666666666673,0.13966666666666666,0.2538333333333333,0.17011666666666664,50753,1,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123726_5_0.0001_2_window_5,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.13,0.10666666666666667,0.11616666666666667,0.24016666666666656,0.15360000000000001,51269,5,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123804_7_0.0001_2_window_7,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.08,0.06333333333333332,0.10333333333333333,0.24266666666666661,0.13129999999999997,51527,7,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
deep_mlp_(no mean)_normal_KL23_123842_10_0.0001_2_window_10,lotka_volterra,2,normal_KL,deep_mlp,64,2,0.0001,0.07,0.08666666666666664,0.12066666666666666,0.22983333333333322,0.1395333333333333,51914,10,0,100,0,0,128,2,40,1.1,normal,gated,iTransformer
