Variable,SummaryCausalGraph,Attention,MLP
0,-0.39883316,0.099803105,0.0
1,-2.0090895,0.15086405,0.0
2,-3.0119846,0.28869182,0.0
3,4.405314,0.13485076,0.0
4,0.41862193,0.10497024,0.0
5,0.028811503,0.18665603,0.0
6,-0.18488906,0.065766245,0.0
7,3.8247144,0.14959423,0.0
8,1.3319559,0.08715321,0.0
9,1.2806598,0.17383243,0.0
