scheme,dataset_name,seed,correlated_KL,architecture,hidden_layer_size,num_attention_heads,lr,AC@1,AC@3,AC@5,AC@10,Avg@10,total_params,window_size,early_stopping,num_epochs,AMOC_Loss,mean_std_recon_loss,outer_hidden_dim,outer_heads_num,num_vars,alpha_lv,time_freq_representation,combine_method,main_model,encoder_alpha,decoder_alpha,encoder_gamma (smooth),decoder_gamma,encoder_lambda (sparse),decoder_lambda,beta,AC@1_metric,AC@3_metric,AC@5_metric,AC@10_metric,AC@1_node,AC@3_node,AC@5_node,AC@10_node,AC@1_service,AC@3_service,AC@5_service,AC@10_service,RCA_coverage,mrr,hr@1,hr@3,hr@5,hr@10,auc@10,std_ac,coverage,avg_time,throughput,model_mem_mb,peak_mem_mb,train_total_time,train_avg_epoch_time,train_throughput,train_peak_mem_mb,temporal_mixer
msdsAnofusion_(no mean)_normal_KL17_174739_2_0.0001_7_window_2,msds,7,normal_KL,Anofusion,16,0,0.0001,0.0,0.9971428571428571,1.0,1.0,0.7996190476190476,17808,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.332063492063492,0.0,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.7996190476190476,0.39933509363290715,0.04734848484848485,0.014583709353492373,68.56966055487997,0.072113037109375,24.5986328125,7.280252456665039,0.728025245666504,12183.643428298361,48.67578125,0
msdstorai_(no mean)_normal_KL17_183744_2_0.0001_7_window_2,msds,7,normal_KL,torai,16,0,0.0001,1.0,1.0,1.0,1.0,1.0,0,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005,0,0,0,0,0,0,0,0,0
msdstorai_(no mean)_normal_KL17_184744_2_0.0001_7_window_2,msds,7,normal_KL,torai,16,0,0.0001,1.0,1.0,1.0,1.0,1.0,0,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.005,0.0003512859344482422,2846.6838604588024,0,0,0,0,0,0,0
msdsvlinear_(no mean)_normal_KL17_231338_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.0,0.9980952380952381,1.0,1.0,0.7999047619047619,13082,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.332063492063492,0.0,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.7999047619047619,0.3992392879844051,0.04734848484848485,0.01418147223336356,70.51454063051253,0.05406951904296875,17.787109375,4.663120985031128,0.4663120985031128,19021.59525449411,53.3564453125,0
msdsvlinear_(no mean)_normal_KL17_231916_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.0,0.9980952380952381,1.0,1.0,0.7999047619047619,13082,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.33333333333333326,0.0,1.0,1.0,1.0,0.7999047619047619,0.3992392879844051,0.04734848484848485,0.019211416244506837,52.05238319095461,0.05406951904296875,17.787109375,7.096957445144653,0.7096957445144654,12498.313634483413,53.3564453125,0
msdsEadro_(no mean)_normal_KL17_232303_2_0.0001_7_window_2,msds,7,normal_KL,Eadro,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,144915,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9961904761904762,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.033715886161440896,29.65960898111134,0.5572319030761719,19.533203125,10.010056257247925,1.0010056257247926,8861.08906089069,139.96923828125,0
msdsEadro_(no mean)_normal_KL17_232609_2_0.0001_7_window_2,msds,7,normal_KL,Eadro,16,0,0.0001,0.0038095238095238095,0.004761904761904762,1.0,1.0,0.6016190476190476,144915,2,0,10,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.2,0.0,0.0,1.0,1.0,0.6016190476190476,0.48791528389981653,0.04734848484848485,0.014259772073654902,70.12734809748551,0.5572319030761719,19.533203125,8.352720499038696,0.8352720499038696,10619.294637023753,139.96923828125,0
msdsEadro_(no mean)_normal_KL17_232915_2_0.0001_7_window_2,msds,7,normal_KL,Eadro,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,144915,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.018610823040916807,53.73217497159857,0.5572319030761719,19.533203125,84.67247605323792,0.8467247605323791,10475.659167476073,139.96923828125,0
msdsAnofusion_(no mean)_normal_KL17_233357_2_0.0001_7_window_2,msds,7,normal_KL,Anofusion,16,0,0.0001,0.9961904761904762,0.9971428571428571,1.0,1.0,0.9985714285714286,17808,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.9985714285714286,0.0018195212547183653,0.04734848484848485,0.017597798392886208,56.8252901683567,0.072113037109375,24.5986328125,84.60310411453247,0.8460310411453247,10484.248885232546,48.67578125,0
msdsvlinear_(no mean)_normal_KL17_233920_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,13082,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.016368177050635927,61.09415831136483,0.05406951904296875,17.787109375,71.51335716247559,0.7151335716247559,12403.277306430604,53.3564453125,0
msdsvlinear_(no mean)_normal_KL17_234548_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,13082,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,1.0,1.0,1.0,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.01691328003292992,59.12513705520242,0.05406951904296875,17.787109375,69.74389147758484,0.6974389147758484,12717.959683753452,53.3564453125,0
msdsvlinear_(no mean)_normal_KL17_235112_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,13082,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9976190476190476,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.018373913083757673,54.42498804917002,0.05406951904296875,17.787109375,71.76015186309814,0.7176015186309814,12360.620441442095,53.3564453125,0
msdsEadro_(no mean)_normal_KL18_000513_2_0.0001_7_window_2,msds,7,normal_KL,Eadro,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,144915,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9976190476190476,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.1266008508773077,7.898841066788144,0.5572319030761719,19.533203125,80.00727224349976,0.8000727224349976,11086.492204114169,139.96923828125,0
msdsvlinear_(no mean)_normal_KL18_020022_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,13082,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9976190476190476,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.6987847369057791,1.4310558705503542,0.05406951904296875,17.787109375,69.85775947570801,0.69857759475708,12697.229436744834,53.3564453125,0
msdsvlinear_(no mean)_normal_KL18_022529_2_0.0001_7_window_2,msds,7,normal_KL,vlinear,16,0,0.0001,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,13082,2,0,100,0,0,128,2,10,0,vlinear,gated,aerca_based,1.0,1.0,0.2,0.2,0.5,0.5,0.01,0,0,0,0,0,0,0,0,0,0,0,0,N/A,0.9976190476190476,0.9961904761904762,0.9980952380952381,1.0,1.0,0.9992380952380951,0.0012634761106115736,0.04734848484848485,0.016810571125575473,59.48637869171546,0.05406951904296875,17.787109375,59.83049464225769,0.5983049464225769,14825.2158920565,53.3564453125,0
