scheme,dataset_name,seed,correlated_KL,lambda_indep,lambda_corr,shrinkage,gloabl_attention_over_all_lag,local_attention_per_lag,AC@1,AC@3,AC@5,AC@10,Avg@10
msds_bothnormal_KL_2_,msds,2,0,1.0,1.0,0.07,both,0,0.33663366336633666,0.9917491749174918,0.9917491749174918,1.0,0.9232673267326732
msds_nonenormal_KL_2_,msds,2,0,1.0,1.0,0.07,none,0,0.33663366336633666,0.9917491749174918,0.9966996699669968,1.0,0.9244224422442244
msds_globalcorrelated_KL_1.0_1.0_0.07_2_,msds,2,1,1.0,1.0,0.07,global,0,0.7524752475247525,0.9026402640264027,0.9917491749174918,1.0,0.9386138613861388
msds_selfcorrelated_KL_1.0_1.0_0.07_2_,msds,2,1,1.0,1.0,0.07,self,0,0.693069306930693,0.7838283828382838,0.9818481848184819,1.0,0.910891089108911
msds_bothcorrelated_KL_1.0_1.0_0.07_2_,msds,2,1,1.0,1.0,0.07,both,0,0.693069306930693,0.7838283828382838,0.9917491749174918,1.0,0.9138613861386139
msds_nonecorrelated_KL_1.0_1.0_0.07_2_,msds,2,1,1.0,1.0,0.07,none,0,0.693069306930693,0.778877887788779,0.9818481848184819,1.0,0.9113861386138614
msds_globalnormal_KL_3_,msds,3,0,1.0,1.0,0.07,global,0,0.24752475247524752,0.9389438943894389,0.9966996699669968,1.0,0.8844884488448844
msds_globalnormal_KL_4_,msds,4,0,1.0,1.0,0.07,global,0,0.40594059405940597,0.971947194719472,0.9917491749174918,1.0,0.9224422442244224
msds_nonenormal_KL_3_,msds,3,0,1.0,1.0,0.07,none,0,0.2376237623762376,0.9389438943894389,0.9966996699669968,1.0,0.8854785478547855
msds_nonenormal_KL_4_,msds,4,0,1.0,1.0,0.07,none,0,0.36633663366336633,0.971947194719472,0.9917491749174918,1.0,0.916006600660066
msds_globalcorrelated_KL_1.0_1.0_0.07_3_,msds,3,1,1.0,1.0,0.07,global,0,0.693069306930693,0.9323432343234324,0.9917491749174918,1.0,0.9442244224422442
msds_globalcorrelated_KL_1.0_1.0_0.07_4_,msds,4,1,1.0,1.0,0.07,global,0,0.7722772277227723,0.9323432343234324,0.9917491749174918,1.0,0.9539603960396039
msds_nonecorrelated_KL_1.0_1.0_0.07_3_,msds,3,1,1.0,1.0,0.07,none,0,0.7128712871287128,0.9323432343234324,0.9917491749174918,1.0,0.9481848184818482
msds_nonecorrelated_KL_1.0_1.0_0.07_4_,msds,4,1,1.0,1.0,0.07,none,0,0.7722772277227723,0.9323432343234324,0.9917491749174918,1.0,0.9552805280528054
swat_globalnormal_KL_3_,swat,3,0,1.0,1.0,0.07,global,0,0.1,0.2,0.35,0.5,0.35
swat_globalnormal_KL_4_,swat,4,0,1.0,1.0,0.07,global,0,0.25,0.45,0.5,0.5,0.45499999999999996
swat_nonenormal_KL_3_,swat,3,0,1.0,1.0,0.07,none,0,0.1,0.2,0.35,0.5,0.35
swat_nonenormal_KL_4_,swat,4,0,1.0,1.0,0.07,none,0,0.35,0.45,0.45,0.5,0.465
swat_globalcorrelated_KL_1.0_1.0_0.07_3_,swat,3,1,1.0,1.0,0.07,global,0,0.1,0.2,0.35,0.5,0.35
swat_globalcorrelated_KL_1.0_1.0_0.07_4_,swat,4,1,1.0,1.0,0.07,global,0,0.2,0.3,0.3,0.5,0.34500000000000003
swat_nonecorrelated_KL_1.0_1.0_0.07_3_,swat,3,1,1.0,1.0,0.07,none,0,0.1,0.2,0.35,0.5,0.35
swat_nonecorrelated_KL_1.0_1.0_0.07_4_,swat,4,1,1.0,1.0,0.07,none,0,0.25,0.3,0.4,0.5,0.395
swat_nonecorrelated_KL_1.0_1.0_0.07_3_,swat,3,1,1.0,1.0,0.07,none,0,0.1,0.2,0.35,0.5,0.35
swat_nonecorrelated_KL_1.0_1.0_0.2_3_,swat,3,1,1.0,1.0,0.2,none,0,0.1,0.2,0.35,0.5,0.355
swat_nonecorrelated_KL_1.0_1.0_0.2_4_,swat,4,1,1.0,1.0,0.2,none,0,0.2,0.25,0.3,0.45,0.315
swat_nonecorrelated_KL_0.5_1.0_0.07_3_,swat,3,1,0.5,1.0,0.07,none,0,0.1,0.2,0.35,0.5,0.35
swat_nonecorrelated_KL_0.5_1.0_0.07_4_,swat,4,1,0.5,1.0,0.07,none,0,0.15,0.2,0.3,0.55,0.36
swat_nonecorrelated_KL_0.5_1.0_0.07_3_,swat,3,1,0.5,1.0,0.07,none,0,0.1,0.2,0.35,0.5,0.35
swat_nonecorrelated_KL_0.5_1.0_0.07_4_,swat,4,1,0.5,1.0,0.07,none,0,0.25,0.35,0.35,0.4,0.345
swat_globalcorrelated_KL_0.5_1.0_0.01_3_,swat,3,1,0.5,1.0,0.01,global,0,0.1,0.2,0.35,0.5,0.35
swat_globalcorrelated_KL_0.5_1.0_0.01_4_,swat,4,1,0.5,1.0,0.01,global,0,0.25,0.45,0.45,0.45,0.42000000000000004
swat_globalcorrelated_KL_0.5_1.0_0.01_3_,swat,3,1,0.5,1.0,0.01,global,0,0.1,0.2,0.35,0.5,0.32999999999999996
swat_globalcorrelated_KL_0.5_1.0_0.01_4_,swat,4,1,0.5,1.0,0.01,global,0,0.15,0.2,0.25,0.4,0.27999999999999997
swat_globalcorrelated_KL_0.5_1.0_0.01_3_,swat,3,1,0.5,1.0,0.01,global,0,0.1,0.2,0.45,0.5,0.38
swat_globalcorrelated_KL_0.5_1.0_0.01_4_,swat,4,1,0.5,1.0,0.01,global,0,0.0,0.05,0.05,0.175,0.0675, (compress to 10 features)
swat_globalcorrelated_KL_1.0_1.0_0.01_4_,swat,4,1,1.0,1.0,0.01,global,0,0.05,0.1,0.15,0.3,0.16, (us to freq)
swat_globalcorrelated_KL_0.5_1.0_0.01_3_,swat,3,1,0.5,1.0,0.01,global,0,0.1,0.2,0.45,0.5,0.36
swat_globalcorrelated_KL_0.5_1.0_0.01_4_,swat,4,1,0.5,1.0,0.01,global,0,0.25,0.3,0.35,0.4,0.35, (us freq leanable)
swat_globalcorrelated_KL_0.5_1.0_0.01_3_,swat,3,1,0.5,1.0,0.01,global,0,0.1,0.2,0.35,0.5,0.35
swat_globalcorrelated_KL_0.5_1.0_0.01_4_,swat,4,1,0.5,1.0,0.01,global,0,0.2,0.45,0.45,0.55,0.43999999999999995, fairness 0.5
swat_globalcorrelated_KL_0.5_1.0_0.01_3_,swat,3,1,0.5,1.0,0.01,global,0,0.1,0.2,0.35,0.5,0.35
swat_globalcorrelated_KL_0.5_1.0_0.01_4_,swat,4,1,0.5,1.0,0.01,global,0,0.2,0.45,0.45,0.45,0.41500000000000004
